"c_chave";"c_codprod";"c_descr"
"0000003551";"00539";"QUIABO KG"
"0000003720";"00539";"QUIABO KG"
"0000003945";"00539";"QUIABO KG"
"0000004058";"00539";"QUIABO KG"
"0000004155";"00539";"QUIABO KG"
"0000004257";"00539";"QUIABO KG"
"0000004263";"00539";"QUIABO KG"
"0000004366";"00539";"QUIABO KG"
"0000004477";"00539";"QUIABO KG"
"0000004537";"00539";"QUIABO KG"
"0000004558";"00539";"QUIABO KG"
"0000003421";"00540";"REPOLHO ROXO KG"
"0000003551";"00540";"REPOLHO ROXO KG"
"0000003720";"00540";"REPOLHO ROXO KG"
"0000003945";"00540";"REPOLHO ROXO KG"
"0000004058";"00540";"REPOLHO ROXO KG"
"0000004155";"00540";"REPOLHO ROXO KG"
"0000004257";"00540";"REPOLHO ROXO KG"
"0000004263";"00540";"REPOLHO ROXO KG"
"0000004366";"00540";"REPOLHO ROXO KG"
"0000004477";"00540";"REPOLHO ROXO KG"
"0000004537";"00540";"REPOLHO ROXO KG"
"0000004558";"00540";"REPOLHO ROXO KG"
"0000003421";"00541";"REPOLHO VERDE KG"
"0000003551";"00541";"REPOLHO VERDE KG"
"0000003720";"00541";"REPOLHO VERDE KG"
"0000003945";"00541";"REPOLHO VERDE KG"
"0000004058";"00541";"REPOLHO VERDE KG"
"0000004155";"00541";"REPOLHO VERDE KG"
"0000004257";"00541";"REPOLHO VERDE KG"
"0000004263";"00541";"REPOLHO VERDE KG"
"0000004366";"00541";"REPOLHO VERDE KG"
"0000004477";"00541";"REPOLHO VERDE KG"
"0000004537";"00541";"REPOLHO VERDE KG"
"0000004558";"00541";"REPOLHO VERDE KG"
"0000003421";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000003551";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000003720";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000003945";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000004058";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000004155";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000004257";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000004263";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000004366";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000004477";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000004537";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000004558";"00542";"TOMATE LONGA VIDA BOCA 08 KG"
"0000003422";"00543";"POLPA DE ACEROLA 500G"
"0000003552";"00543";"POLPA DE ACEROLA 500G"
"0000003721";"00543";"POLPA DE ACEROLA 500G"
"0000003943";"00543";"POLPA DE ACEROLA 500G"
"0000004056";"00543";"POLPA DE ACEROLA 500G"
"0000004155";"00543";"POLPA DE ACEROLA 500G"
"0000004257";"00543";"POLPA DE ACEROLA 500G"
"0000004263";"00543";"POLPA DE ACEROLA 500G"
"0000004366";"00543";"POLPA DE ACEROLA 500G"
"0000004476";"00543";"POLPA DE ACEROLA 500G"
"0000004537";"00543";"POLPA DE ACEROLA 500G"
"0000004558";"00543";"POLPA DE ACEROLA 500G"
"0000003422";"00544";"POLPA DE CAJA 500G"
"0000003552";"00544";"POLPA DE CAJA 500G"
"0000003721";"00544";"POLPA DE CAJA 500G"
"0000003943";"00544";"POLPA DE CAJA 500G"
"0000004056";"00544";"POLPA DE CAJA 500G"
"0000004155";"00544";"POLPA DE CAJA 500G"
"0000004257";"00544";"POLPA DE CAJA 500G"
"0000004263";"00544";"POLPA DE CAJA 500G"
"0000004366";"00544";"POLPA DE CAJA 500G"
"0000004476";"00544";"POLPA DE CAJA 500G"
"0000004537";"00544";"POLPA DE CAJA 500G"
"0000004558";"00544";"POLPA DE CAJA 500G"
"0000003422";"00545";"POLPA DE MARACUJA 500G"
"0000003552";"00545";"POLPA DE MARACUJA 500G"
"0000003721";"00545";"POLPA DE MARACUJA 500G"
"0000003943";"00545";"POLPA DE MARACUJA 500G"
"0000004056";"00545";"POLPA DE MARACUJA 500G"
"0000004155";"00545";"POLPA DE MARACUJA 500G"
"0000004257";"00545";"POLPA DE MARACUJA 500G"
"0000004263";"00545";"POLPA DE MARACUJA 500G"
"0000004366";"00545";"POLPA DE MARACUJA 500G"
"0000004476";"00545";"POLPA DE MARACUJA 500G"
"0000004537";"00545";"POLPA DE MARACUJA 500G"
"0000004558";"00545";"POLPA DE MARACUJA 500G"
"0000003422";"00546";"POLPA DE GOIABA 500G"
"0000003552";"00546";"POLPA DE GOIABA 500G"
"0000003721";"00546";"POLPA DE GOIABA 500G"
"0000003943";"00546";"POLPA DE GOIABA 500G"
"0000004056";"00546";"POLPA DE GOIABA 500G"
"0000004155";"00546";"POLPA DE GOIABA 500G"
"0000004257";"00546";"POLPA DE GOIABA 500G"
"0000004263";"00546";"POLPA DE GOIABA 500G"
"0000004366";"00546";"POLPA DE GOIABA 500G"
"0000004476";"00546";"POLPA DE GOIABA 500G"
"0000004537";"00546";"POLPA DE GOIABA 500G"
"0000004558";"00546";"POLPA DE GOIABA 500G"
"0000003422";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000003552";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000003721";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000003943";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000004056";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000004155";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000004257";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000004263";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000004366";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000004476";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000004537";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000004558";"00547";"PAO MASSA FINA 50G PCT C/10"
"0000003422";"00550";"IORGUTE CARTELA CM 6 UND"
"0000003552";"00550";"IORGUTE CARTELA CM 6 UND"
"0000003721";"00550";"IORGUTE CARTELA CM 6 UND"
"0000003943";"00550";"IORGUTE CARTELA CM 6 UND"
"0000004056";"00550";"IORGUTE CARTELA CM 6 UND"
"0000004155";"00550";"IORGUTE CARTELA CM 6 UND"
"0000004257";"00550";"IORGUTE CARTELA CM 6 UND"
"0000004263";"00550";"IORGUTE CARTELA CM 6 UND"
"0000004366";"00550";"IORGUTE CARTELA CM 6 UND"
"0000004476";"00550";"IORGUTE CARTELA CM 6 UND"
"0000004537";"00550";"IORGUTE CARTELA CM 6 UND"
"0000004558";"00550";"IORGUTE CARTELA CM 6 UND"
"0000003420";"00551";"ALHO EM PASTA"
"0000003550";"00551";"ALHO EM PASTA"
"0000003722";"00551";"ALHO EM PASTA"
"0000003944";"00551";"ALHO EM PASTA"
"0000004057";"00551";"ALHO EM PASTA"
"0000004155";"00551";"ALHO EM PASTA"
"0000004257";"00551";"ALHO EM PASTA"
"0000004263";"00551";"ALHO EM PASTA"
"0000004366";"00551";"ALHO EM PASTA"
"0000004475";"00551";"ALHO EM PASTA"
"0000004537";"00551";"ALHO EM PASTA"
"0000004558";"00551";"ALHO EM PASTA"
"0000003420";"00552";"CANELA EM PO POTE 20G"
"0000003550";"00552";"CANELA EM PO POTE 20G"
"0000003722";"00552";"CANELA EM PO POTE 20G"
"0000003944";"00552";"CANELA EM PO POTE 20G"
"0000004057";"00552";"CANELA EM PO POTE 20G"
"0000004155";"00552";"CANELA EM PO POTE 20G"
"0000004257";"00552";"CANELA EM PO POTE 20G"
"0000004263";"00552";"CANELA EM PO POTE 20G"
"0000004366";"00552";"CANELA EM PO POTE 20G"
"0000004475";"00552";"CANELA EM PO POTE 20G"
"0000004537";"00552";"CANELA EM PO POTE 20G"
"0000004558";"00552";"CANELA EM PO POTE 20G"
"0000003420";"00553";"COLORAU"
"0000003550";"00553";"COLORAU"
"0000003722";"00553";"COLORAU"
"0000003944";"00553";"COLORAU"
"0000004057";"00553";"COLORAU"
"0000004155";"00553";"COLORAU"
"0000004257";"00553";"COLORAU"
"0000004263";"00553";"COLORAU"
"0000004366";"00553";"COLORAU"
"0000004475";"00553";"COLORAU"
"0000004537";"00553";"COLORAU"
"0000004558";"00553";"COLORAU"
"0000003420";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000003550";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000003722";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000003944";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000004057";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000004155";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000004257";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000004263";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000004366";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000004475";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000004537";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000004558";"00554";"EXTRATO DE TOMATE CONCENTRADO 190G"
"0000003420";"00556";"LEITE DE COCO 200ML"
"0000003550";"00556";"LEITE DE COCO 200ML"
"0000003722";"00556";"LEITE DE COCO 200ML"
"0000003944";"00556";"LEITE DE COCO 200ML"
"0000004057";"00556";"LEITE DE COCO 200ML"
"0000004155";"00556";"LEITE DE COCO 200ML"
"0000004257";"00556";"LEITE DE COCO 200ML"
"0000004263";"00556";"LEITE DE COCO 200ML"
"0000004366";"00556";"LEITE DE COCO 200ML"
"0000004475";"00556";"LEITE DE COCO 200ML"
"0000004537";"00556";"LEITE DE COCO 200ML"
"0000004558";"00556";"LEITE DE COCO 200ML"
"0000003420";"00557";"LEITE EM PO DESNATADO 200G"
"0000003550";"00557";"LEITE EM PO DESNATADO 200G"
"0000003722";"00557";"LEITE EM PO DESNATADO 200G"
"0000003944";"00557";"LEITE EM PO DESNATADO 200G"
"0000004057";"00557";"LEITE EM PO DESNATADO 200G"
"0000004155";"00557";"LEITE EM PO DESNATADO 200G"
"0000004257";"00557";"LEITE EM PO DESNATADO 200G"
"0000004263";"00557";"LEITE EM PO DESNATADO 200G"
"0000004366";"00557";"LEITE EM PO DESNATADO 200G"
"0000004475";"00557";"LEITE EM PO DESNATADO 200G"
"0000004537";"00557";"LEITE EM PO DESNATADO 200G"
"0000004558";"00557";"LEITE EM PO DESNATADO 200G"
"0000003420";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000003550";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000003722";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000003944";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000004057";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000004155";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000004257";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000004263";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000004366";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000004475";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000004537";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000004558";"00559";"MACARRAO PARAFUSO PCT 500G"
"0000003420";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000003550";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000003722";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000003944";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000004057";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000004155";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000004257";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000004263";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000004366";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000004475";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000004537";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000004558";"00560";"MILHO VERDE EM CONSERVA 200G"
"0000003420";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000003550";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
